name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value,ds_id,ds_qid
"Juvaynī, Muḥammad ibn Malikshāh ibn Muḥammad Malikshāh",scribe,,,human,Muḥammad ibn Malikshāh ibn Muḥammad Malikshāh al-Juwaynī,Q116452812,DSNAME961,Q3800
"Juvaynī, Muḥammad ibn Malikshāh ibn Muḥammad Malikshāh",scribe,جويني، محمد بن ملكشاه بن محمد ملكشاه،,,human,Muḥammad ibn Malikshāh ibn Muḥammad Malikshāh al-Juwaynī,Q116452812,DSNAME961,Q3800
"Juvaynī, Muḥammad ibn Malikshāh ibn Muḥammad Malikshāh",scribe,,,human,Muḥammad ibn Malikshāh ibn Muḥammad Malikshāh al-Juwaynī,Q116452812,DSNAME961,Q3800
"Juvayrī, Muḥammad, active 10th century",author,جويرى، محمد، active 10th century,,human,Muḥammad Juvayrī,Q124130484,DSNAME3228,Q28012
Juvenal,author,,,human,Juvenal,Q193800,DSNAME4611,Q41056
Juvenal.,author,,,human,Juvenal,Q193800,DSNAME4611,Q41056
"Juwaynī, Muṣ̣ṭafá Ibn ʻAlī Muʼmin",former owner,جويني، مصطفى ابن علي مؤمن.,,human,Muṣ̣ṭafá Ibn ʻAlī Muʼmin Juwaynī,Q123581738,DSNAME2584,Q18632
"Kabshī, Aḥmad",author,كبشي، احمد,,human,Aḥmad Kabshī,Q129951625,DSNAME6621,Q54252
Kaccāyana,author,,,human,Pakudha Kaccayana,Q6135087,DSNAME6004,Q42696
"Kaffawī, Ayyūb ibn Mūsá, 1618 or 1619-1682 or 1683",author,کفوى، ايوب بن موسى، 1618 or 1619-1682 or 1683,,human,al-Kafawi,Q28713555,DSNAME6823,Q54804
"Kaffawī, Maḥmūd ibn Sulaymān, d. 1582",author,,,human,Maḥmūd ibn Sulaymān Kaffawī,Q131432221,DSNAME7044,Q63974
"Kaffawī, Muḥammad ibn Ḥumayd, -1760 or 1761",author,,,human,Muḥammad ibn Ḥumayd Kaffawī,Q129951573,DSNAME6575,Q54206
"Kāfiyajī, Muḥammad ibn Sulaymān, -1474",author,,,human,al-Kāfiyad̲j̲ī,Q12191619,DSNAME6656,Q54287
"Kafʻamī, Ibrāhīm ibn ʻAlī, 1436 or 1437-1499 or 1500",author,كفعمي، ابراهيم بن علي، 1436 or 1437-1499 or 1500,,human,al-Kafʻamī,Q12181714,DSNAME3119,Q27906
"Kafʻamī, Ibrāhīm ibn ʻAlī, 1436 or 1437-1499 or 1500",author,كفعمي، ابراهيم بن علي، 1436 or 1437-1499 or 1500,,human,al-Kafʻamī,Q12181714,DSNAME3119,Q27906
"Kaiser, Minerva",former owner,,,human,Minerva Kaiser,Q123274779,DSNAME2226,Q16530
"Kākī, Muḥammad ibn Muḥammad, -1348 or 1349",author,كاكي، محمد بن محمد,,human,al-Kākī,Q125099339,DSNAME7011,Q63941
"Kākī, Muḥammad ibn Muḥammad, -1348 or 1349",author,,,human,al-Kākī,Q125099339,DSNAME7011,Q63941
"Kakīzāwī, Aḥmad ibn Muṣṭafá, active 16th century",scribe,"ككيزاوي، احمد بن مصطفى, active 16th century",,human,Aḥmad ibn Muṣṭafá Kakīzāwī,Q131748660,DSNAME7928,Q68538
"Kalābādhī, Muḥammad ibn Ibrāhīm, active 10th century",author,كلاباذي، محمد بن ابراهيم، active 10th century,http://id.loc.gov/authorities/names/n83161675 http://id.loc.gov/authorities/names/n83161675 http://viaf.org/viaf/sourceID/LC%7cn83161675,human,Abu Bakr al-Kalabadhi,Q334857,DSNAME1905,Q12435
"Kalanbawī, Ismaʻīl ibn Muṣṭafá, d. 1790 or 91",author,,,human,Gelenbevi Ismail Efendi,Q5530412,DSNAME8865,Q106643
"Kalanbawī, Ismāʻīl ibn Muṣṭafá, d. 1790 or 91",author,,,human,Gelenbevi Ismail Efendi,Q5530412,DSNAME8865,Q106643
"Kalantarī, Abū al-Qāsim ibn Muḥammad ʻAlī, 1820-1875",author,كلانتري، ابو القاسم بن محمد علي، 1820-1875,,human,Alkalantary,Q124769174,DSNAME8848,Q103691
"Kalāʻī, Sulaymān ibn Mūsá, 1170-1237",author,كلاعي، سليمان بن موسى، 1170-1237,,human,Aburrebii ibn Salim Elcolaí,Q11904044,DSNAME1858,Q12388
"Kalāʻī, Sulaymān ibn Mūsá, 1170-1237",author,كلاعي، سليمان بن موسى، 1170-1237,,human,Aburrebii ibn Salim Elcolaí,Q11904044,DSNAME1858,Q12388
Kālidāsa,author,,http://id.loc.gov/authorities/names/n79145177,human,Kalidasa,Q7011,DSNAME3384,Q28168
Kālidāsa,author,,,human,Kalidasa,Q7011,DSNAME3384,Q28168
"Kalīm, Abū Ṭālib, -1651",author,کلىم، ابو طالب، -1651,,human,Kalim Kashani,Q4116339,DSNAME6122,Q48993
"Kallir, Eleazar",author,"קליר, אלעזר",,human,Eleazar ben Killir,Q1324937,DSNAME8473,Q75884
"Ḳalmanḳes, Avraham ben Aryeh Leib",author,"קלמנקס, אברהם בן אריה ליב",,human,Avraham ben Aryeh Leib Kalmankes,Q132798538,DSNAME8348,Q75760
"Kalmankes, Avraham ben Arye Leib",author,"קלמנקס, אברהם בן אריה ליב",,human,Avraham ben Aryeh Leib Kalmankes,Q132798538,DSNAME8348,Q75760
Kalyāṇamalla,author,,http://id.loc.gov/authorities/names/n81022500,human,Kalyanamalla,Q3812649,DSNAME3405,Q28189
Kamalākara,author,,http://id.loc.gov/authorities/names/n2005035182,human,Kamalakara,Q3036590,DSNAME3348,Q28132
"Kamalākarabhaṭṭa, active 17th century",author,,http://id.loc.gov/authorities/names/n88123725,human,Kamalākarabhaṭṭa,Q124252867,DSNAME3283,Q28067
"Kamalākara Bhaṭṭa, active 18th century",author,,http://id.loc.gov/authorities/names/no99065124,human,Kamalākara Bhaṭṭa,Q113723310,DSNAME3528,Q28312
"Kamāl al-Dīn al-Bakrī, Muḥammad ibn Muṣṭafá, 1730 or 1731-1781 or 1782",author,,,human,Kamāl aldaayn albakry,Q124772857,DSNAME6592,Q54223
"Kamāl Khujandī, -approximately 1400",author,,,human,Kamal Khujandi,Q784028,DSNAME6452,Q49323
"Kamāl Khujandī, -approximately 1400",author,كمال خجندي,,human,Kamal Khujandi,Q784028,DSNAME6452,Q49323
Kaṇāda,author,,http://id.loc.gov/authorities/names/n84021695,human,Kanada,Q29049,DSNAME3360,Q28144
"Kanawjī, Khalīfah Shāh Muḥammad, active 17th century",author,کنوجى، خلىفه شاه محمد، 17th cent,,human,Khalīfah Shāh Muḥammad Kanawjī,Q129453123,DSNAME6165,Q49036
"Kane, Grenville, 1854-1943",former owner,,http://id.loc.gov/authorities/names/no2001073978(uri) http://id.loc.gov/authorities/names/no2001073978(uri) http://viaf.org/viaf/sourceID/LC%7cno2001073978,human,Grenville Kane,Q94356741,DSNAME2011,Q12820
"Kang, Youwei, 1858-1927",former owner,"康有為, 1858-1927",,human,Kang Youwei,Q360135,DSNAME4612,Q41057
"Kann, Maurice",former owner,,,human,Maurice Kann,Q3300968,DSNAME2259,Q16562
"Kanō, Gensen, 1685−1751",author,"狩野元仙, 1685−1751",,human,Kanō Gensen,Q123005896,DSNAME2082,Q12891
"Kanō, Gensen, 1685−1751",author,"狩野元仙, 1685−1751",,human,Kanō Gensen,Q123005896,DSNAME2082,Q12891
"Kānqarī, ʻAbd Allāh ibn Ḥasan",author,,,human,ʻAbd Allāh ibn Ḥasan Kānqarī,Q136458538,DSNAME8962,Q108534
"Kanroji, Motonaga, 1457-1527",author,,,human,Kanroji Motonaga,Q17990301,DSNAME8569,Q76683
"Kantakouzenos, Michael",former owner,,,human,Michael Kantakouzenos Şeytanoğlu,Q13648753,DSNAME4613,Q41058
"Kanzi, Yitsḥaḳ",author,,,human,Yitsḥaḳ Kanzi,Q133849456,DSNAME8612,Q76729
Kapila,author,,http://id.loc.gov/authorities/names/n50059441,human,Kapila,Q574355,DSNAME3362,Q28146
"Kaplenevsky, Aaron ben Avraham",scribe,"קפלנווסקי, אהרן בן אברהם (מעתיק)",,human,Aaron ben Avraham Kaplenevsky,Q132798663,DSNAME8402,Q75813
"Karaçelebizade Abdülaziz, 1591-1658",author,قره چلبي زاده عبد العزيز,,human,Karaçelebizade Abdülaziz,Q20471822,DSNAME6743,Q54724
"Kara Fazlı̂, -1563",author,قره فضلى,,human,Kara Fazlî,Q21600699,DSNAME6924,Q54905
"Karakaşzade Ömer, -1637 or 1638",author,قره قاش زاده عمر,,human,Karakaşzade Ömer,Q130375053,DSNAME6925,Q54906
"Karāmah, Buṭrus ibn Ibrāhīm, 1774 or 1775-1850 or 1851",author,كرامة، بطرس بن ابراهيم، 1774 or 1775-1850 or 1851,,human,Butrus Karamah,Q42890491,DSNAME1813,Q12343
"Karāmah, Buṭrus ibn Ibrāhīm, 1774 or 1775-1850 or 1851",author,كرامة، بطرس بن ابراهيم، 1774 or 1775-1850 or 1851,,human,Butrus Karamah,Q42890491,DSNAME1813,Q12343
"Karam al-Dīn, Ḥāfiẓ",former owner,كرم الدين، حافظ.,,human,Ḥāfiẓ Karam al-Dīn,Q123581741,DSNAME2592,Q18640
"Karandīkara, Rāmacandra",former owner,,,human,Vināyaka Rāmacandra Karandīkara,Q94641718,DSNAME3612,Q28396
"Karasik, Ber, active 19th century",author,"קאראסיק, דוב בער, מאה 19, active 19th century",,human,"Karasik, Ber, active 19th century",Q118914856,DSNAME8243,Q75656
"Kardarī, Ibn al-Bazzāz, -1424",author,,,human,al-Bazzazi,Q12184450,DSNAME7041,Q63971
"Kardarī, Muḥammad ibn Muḥammad, d. 1424",author,,,human,al-Bazzazi,Q12184450,DSNAME7041,Q63971
"Kardūdī, Muḥammad ibn ʻAbd al-Qādir, 1802 or 1803-1851 or 1852",author,,,human,Muḥammad ibn ʻAbd al-Qādir Kardūdī,Q129951643,DSNAME6629,Q54260
"Karīmī, Muḥammad ibn Yūsuf, 1599 or 1600-1657 or 1658",author,كريمي، محمد بن يوسف، 1599 or 1600-1657 or 1658,,human,Muḥammad ibn Yūsuf Karīmī,Q131748446,DSNAME7621,Q68231
Karl & Faber,former owner,,,organization,Karl & Faber Kunstauktionen,Q53596640,DSNAME5554,Q41999
Karl Theodor Völcker's Verlag Und Antiquariat,former owner,,,organization,Karl Theodor Völcker's Verlag Und Antiquariat,Q126000574,DSNAME5749,Q42222
Karl W. Hiersemann (Firm),former owner,,,human,Karl Wilhelm Hiersemann,Q1473427,DSNAME2992,Q12935
"Karmi, Elḥanan Daṿid",author,"קרמי, אלחנן דוד",,human,Elḥanan Daṿid Karmi,Q132798506,DSNAME8268,Q75681
"Ḳarmi, Elḥanan Daṿid",author,"קרמי, אלחנן דוד",,human,Elḥanan Daṿid Karmi,Q132798506,DSNAME8268,Q75681
"Karmi, Jacob",author,"כרמי, יעקב",,human,Jacob Israel Karmi,Q126986986,DSNAME8443,Q75854
"Karmī, Marʻī ibn Yūsuf, -1623 or 1624",author,كرمي، مرعي بن يوسف، -1623 or 1624,,human,Mar'i al-Karmi,Q25451884,DSNAME1853,Q12383
"Karmī, Marʻī ibn Yūsuf, -1623 or 1624",author,كرمي، مرعي بن يوسف، -1623 or 1624,http://id.loc.gov/authorities/names/n83139695,human,Mar'i al-Karmi,Q25451884,DSNAME1853,Q12383
"Karmī, Marʻī ibn Yūsuf, -1623 or 1624",author,كرمي، مرعي بن يوسف، -1623 or 1624,http://id.loc.gov/authorities/names/n83139695,human,Mar'i al-Karmi,Q25451884,DSNAME1853,Q12383
"Karmī, Marʻī ibn Yūsuf, -1623 or 1624",author,كرمي، مرعي بن يوسف، -1623 or 1624,,human,Mar'i al-Karmi,Q25451884,DSNAME1853,Q12383
"Karmi, Yiʹsrael be Yosef",author,"כרמי, ישראל בן יוסף",,human,Yisrael ben Yosef Karmi,Q132798378,DSNAME8501,Q75912
"Karo, Joseph ben Ephraim, 1488-1575",author,,,human,Joseph ben Ephraim Karo,Q467148,DSNAME8335,Q75747
"Karo, Joseph ben Ephraim, 1488-1575",author,"קארו, יוסף בן אפרים, 1488-1575",,human,Joseph ben Ephraim Karo,Q467148,DSNAME8335,Q75747
"Karo, Joseph ben Ephraim, 1488-1575",author,"קארו ַיוסף בן אפרים, 1488-1575",,human,Joseph ben Ephraim Karo,Q467148,DSNAME8335,Q75747
"Karpinski, Louis Charles, 1878-1956",former owner,,,human,Louis Charles Karpinski,Q3709967,DSNAME7392,Q67638
"Kartäuserkirche St. Salvatorberg (Erfurt, Germany)",former owner,,,organization,Kartause Erfurt,Q1734672,DSNAME2550,Q17758
"Kartause Sankt Barbara (Cologne, Allemagne)",former owner,,,organization,Cologne Charterhouse,Q291014,DSNAME1202,Q6081
"Kāsānī, Abū Bakr ibn Masʻūd, -1191",author,,,human,Masʿūd Ibn-Aḥmad Kāsānī,Q12227537,DSNAME7014,Q63944
"Kāshānī, Fatḥ Allāh ibn Shukr Allāh, -1570 or 1571",author,کاشانى، فتح الله بن شکر الله، -1570 or 1571,,human,Molla Fathollah Kashani,Q5217701,DSNAME6247,Q49118
"Kāshānī, Maḥmūd ibn ʻAlī, -1334 or 1335",author,كاشاني، محمود بن علي,,human,Mahmud ibn Ali al-Qashani,Q6734525,DSNAME6349,Q49220
"Kāshānī, Tāj al-Millah wa-al-Dīn",author,كاشاني، تاج الملة والدين,,human,Tāj al-Millah wa-al-Dīn Kāshānī,Q129453503,DSNAME6395,Q49266
"Kāshānī, Yaḥyá ibn Aḥmad, active 14th century",author,كاشاني، يحيى بن احمد، active 14th century,http://id.loc.gov/authorities/names/n2017034608,human,Yaḥyá ibn Aḥmad Kāshānī,Q116419307,DSNAME734,Q2844
"Kāshānī, Yaḥyá ibn Aḥmad, active 14th century",author,,,human,Yaḥyá ibn Aḥmad Kāshānī,Q116419307,DSNAME734,Q2844
"Kāshānī, Yaḥyá ibn Aḥmad, active 14th century",author,,,human,Yaḥyá ibn Aḥmad Kāshānī,Q116419307,DSNAME734,Q2844
"Kāshānī, Yaḥyá ibn Aḥmad, active 14th century",author,كاشاني، يحيى بن احمد، active 14th century,http://id.loc.gov/authorities/names/n2017034608,human,Yaḥyá ibn Aḥmad Kāshānī,Q116419307,DSNAME734,Q2844
"Kāshānī, ʻAlī Naqī ibn Muḥammad Jaʻfar",author,کاشانى، علىنقى بن محمد جعفر,,human,ʻAlī Naqī ibn Muḥammad Jaʻfar Kāshānī,Q129453466,DSNAME6376,Q49247
"Kashfī, Jaʻfar ibn Abī Isḥāq, -1850 or 1851",author,كشفي، جعفر بن ابي اسحاق، -1850 أو 1851,,human,Ja'far Kashfi,Q10868965,DSNAME3124,Q27911
"Kashfī, Jaʻfar ibn Abī Isḥāq, -1850 or 1851",author,كشفي، جعفر بن ابي اسحاق، -1850 أو 1851,,human,Ja'far Kashfi,Q10868965,DSNAME3124,Q27911
"Kashfī Tirmiz̲ī, Muḥammad Ṣāliḥ ibn ʻAbd Allāh, -1650 or 1651",author,کشفى ترمذى، محمد صالح بن عبد الله، -1650 or 1651,,human,Muḥammad Ṣāliḥ ibn ʻAbd Allāh Kashfī Tirmiz̲ī,Q129453408,DSNAME6343,Q49214
"Kāshgharī, Sadīd al-Dīn, active 13th century",author,,,human,Sadīd al-Dīn al-Kashgharī,Q12215635,DSNAME7109,Q64039
"Kāshgharī, Sadīd al-Dīn, active 13th century",author,كاشغري، سديد الدين، active 13th century,,human,Sadīd al-Dīn al-Kashgharī,Q12215635,DSNAME7109,Q64039
"Kāshgharī, Sadīd al-Dīn, active 13th century.",author,,,human,Sadīd al-Dīn al-Kashgharī,Q12215635,DSNAME7109,Q64039
"Kāshī, Jamshīd ibn Masʻūd, -approximately 1436",author,,,human,Jamshīd al-Kāshī,Q115466,DSNAME8999,Q108572
"Kāshif, Muḥammad Sharīf",author,کاشف، محمد شرىف,,human,Muḥammad Sharīf Kāshif,Q129453314,DSNAME6281,Q49152
"Kāshif al-Ghiṭāʼ, Hādī, 1872 or 1873-1942",former owner,كاشف ال غطاء، هادي,,human,Hadi Kashif al-Ghita,Q12249586,DSNAME8989,Q108525
"Kāshifī, Ḥusayn Vāʻiẓ, -1504 or 1505",author,كاشفي، حسين واعظ، 1504- يا 1505,,human,Ḥusain Wāʿiẓ Kāšifī,Q4502475,DSNAME2640,Q18688
Kāśīnātha,scribe,,http://id.loc.gov/authorities/names/n97113027,human,Kāśīnātha,Q124252877,DSNAME3331,Q28115
Kāśīnātha,author,,http://id.loc.gov/authorities/names/n97113027,human,Kāśīnātha,Q124252877,DSNAME3331,Q28115
Kāśīnātha Bhaṭṭācārya,author,,http://id.loc.gov/authorities/names/n91014355,human,Kāśīnātha Bhaṭṭācārya,Q124252878,DSNAME3441,Q28225
Kaśīnātha Tāmūlī-Phukana,author,,,human,Kaśīnātha Tāmūlī-Phukana,Q133839472,DSNAME8566,Q76680
"Kāśīnātha Upādhyāya, -1805",author,,http://id.loc.gov/authorities/names/n88110526,human,Kāśīnātha Upādhyāya,Q124252879,DSNAME3376,Q28160
Katharienconvent,scribe,,,organization,"Katharinenkirche, Nuremberg",Q1736108,DSNAME568,Q1803
"Kātī, Ḥusām al-Dīn al-Ḥasan, -1358 or 1359",author,كاتي، حسام الدين الحسن,,human,Ḥusām al-Dīn al-Ḥasan Kātī,Q135991825,DSNAME8878,Q106656
"Kātib, Malik Muḥammad ibn Darvīsh Muḥammad, active 1574",scribe,كاتب، ملك محمد بن درويش محمد، active 1574,,human,Malik Muḥammad ibn Darvīsh Muḥammad Kātib,Q124130489,DSNAME3229,Q28013
"Kâtip Boşnāḳ Ibrāhīm ibn Aḥmet, active 1726",scribe,كاتب بشناق ابراهيم ابن احمد، active 1726,,human,Kâtip Boşnāḳ Ibrāhīm ibn Aḥmet,Q124130488,DSNAME3194,Q27978
"Kâtip Çelebi, 1609-1657",author,کاتب چلبى، 1609-1657,,human,Kâtip Çelebi,Q390123,DSNAME6808,Q54789
"Kâtip Çelebi, 1609-1657",author,كاتب چلبي,,human,Kâtip Çelebi,Q390123,DSNAME6808,Q54789
"Kâtip Çelebi, 1609-1657",author,كاتب چلبي، 1609-1657,,human,Kâtip Çelebi,Q390123,DSNAME6808,Q54789
"Katsh, Abraham Isaac, 1908-1998",former owner,,http://id.loc.gov/authorities/names/n80020435,human,Abraham I. Katsh,Q30053249,DSNAME2119,Q12926
Kātyāyana (Author on Smr̥tiśāstra),author,,http://id.loc.gov/authorities/names/n88102027,human,Kātyāyana,Q1196778,DSNAME3610,Q28394
"Katz, Farley P",former owner,,,human,Farley P. Katz,Q127510473,DSNAME6005,Q42697
Kauṇḍabhaṭṭa,author,,http://id.loc.gov/authorities/names/n87873047,human,Kauṇḍa Bhaṭṭa,Q105948194,DSNAME3343,Q28127
Kauśikarāma,author,,,human,Kauśikarāma,Q114242460,DSNAME3309,Q28093
Kauśikarāma,author,,,human,Kauśikarāma,Q114242460,DSNAME3309,Q28093
Kauṭalya,author,,http://id.loc.gov/authorities/names/n81112109,human,Chanakya,Q9045,DSNAME3517,Q28301
"Kautzsch, E. (Emil), 1841-1910",author,,,human,Emil Friedrich Kautzsch,Q65613,DSNAME6960,Q55369
"Kavirāja, active 16th century",author,,http://id.loc.gov/authorities/names/n89146442,human,Kavirāja,Q124252868,DSNAME3410,Q28194
"Kawaguchi, Shinnin, 1736-1811",author,"河口信任, 1736-1811",http://id.loc.gov/authorities/names/n88153838,human,Shinnin Kawaguchi,Q9336056,DSNAME2023,Q12832
"Kawākibī, Muḥammad ibn Ḥasan, 1609-1685",author,,,human,Alkawākiby,Q125099110,DSNAME7030,Q63960
"Kawāshī, Aḥmad ibn Yūsuf, d. 1281",author,,,human,Alkawāshy,Q124744233,DSNAME8709,Q101391
"Kawwá, ʻAbd Allāh, active 19th century",scribe,كوى، عبد الله، active 19th century,,human,ʻAbd Allāh Kawwá,Q131748479,DSNAME7668,Q68278
"Kay, Arthur, 1861-1939",former owner,,,human,Arthur Kay,Q56825771,DSNAME7955,Q68565
"Kaygusuz Abdal, active 15th century",author,قيغوسز ابدال,,human,Kaygusuz Abdal,Q6380571,DSNAME6729,Q54710
"Kayyālī, Muḥammad Ṭāhir ibn ʻAbd al-Qādir, 19th cent",author,,,human,Muḥammad Ṭāhir ibn ʻAbd al-Qādir Kayyālī,Q129951477,DSNAME6507,Q54138
"Kāzarūnī, Muḥammad ibn Masʻūd, -1357",author,,,human,Sadid al-Din al-Kazaruni,Q4116936,DSNAME8949,Q108522
"Kāzarūnī, Muḥammad ibn Shadīd",scribe,كازروني، محمد بن شديد,,human,Muḥammad ibn Shadīd Kāzarūnī,Q124130490,DSNAME3140,Q27926
"Kāzarūnī, Sadīd al-Dīn, 14th cent",author,,,human,Sadid al-Din al-Kazaruni,Q4116936,DSNAME8949,Q108522
Kāẓim,author,,,human,Kāẓim,Q129453444,DSNAME6367,Q49238
"Kāẓimī, Asad Allāh ibn Ismāʻīl, 1772 or 1773-1818?",author,كاظمي، اسد الله بن اسماعيل، 1772 or 1773-1818?,,human,Asad Allāh ibn Ismāʻīl Kāẓimī,Q135441892,DSNAME8844,Q103687
"Kāẓimī, Muḥammad Amīn ibn Muḥammad ʻAlī, -1675 or 1676",author,,,human,Muḥammad Amīn ibn Muḥammad ʻAlī Kāẓimī,Q131690046,DSNAME7484,Q67770
"Kāẓimī, Muḥammad ibn Jawād, active 17th century",scribe,كاظمي، محمد بن جواد، active 17th century,,human,Muḥammad ibn Jawād Kāẓimī,Q131748641,DSNAME7901,Q68511
"Kaẓin, Raphael, 1818-1871",author,"קצין, רפאל, 1818-1871",,human,Raphael Kaẓin,Q132752916,DSNAME8496,Q75907
"Kazvinî, Cemalüddin Ebu Abdullah Mehmet",author,,,human,Cemalüddin Ebu Abdullah Mehmet Kazvinî,Q130375007,DSNAME6855,Q54836
Kaʻb ibn Zuhayr,author,كعب بن زهير,,human,Ka'b bin Zuhayr,Q953200,DSNAME8913,Q106691
"Ḳâʼimî Baba, Ḥasan, active 17th century",author,قائمي بابا، حسن,,human,Ḥasan Ḳâʼimî Baba,Q130374961,DSNAME6792,Q54773
"Keçecizade İzzet Molla, 1785-1829",author,كچه جىزاده عزت ملا,,human,Keçecizade İzzet Molla,Q31188810,DSNAME6833,Q54814
Kedārabhaṭṭa,author,,http://id.loc.gov/authorities/names/n83047527,human,Kedārabhaṭṭa,Q124252869,DSNAME3514,Q28298
"Keene, H. G. 1781-1864",former owner,,,human,Henry George Keene,Q17421425,DSNAME2629,Q18677
"Kefeli Ḥüseyin, -1601",author,,,human,Kefeli Ḥüseyin,Q130374942,DSNAME6759,Q54740
Keifer,former owner,,,human,Keifer,Q125930827,DSNAME5750,Q42223
Keith Jarvis,former owner,,,human,Keith Jarvis,Q125930828,DSNAME5751,Q42224
"Kelker, Rudolph F. (Rudolph Frederick), 1820-1906",former owner,,,human,Rudolph Frederick Kelker,Q114242424,DSNAME2765,Q20086
"Kelker, Rudolph Frederick",former owner,,,human,Rudolph Frederick Kelker,Q114242424,DSNAME2765,Q20086
"Keller, Alexandre de",former owner,,,human,Alexandre de Keller,Q116452894,DSNAME1439,Q7600
"Kelı̂m-i Eyyûbı̂, -1687",author,,,human,Kelı̂m-i Eyyûbı̂,Q130375056,DSNAME6928,Q54909
"Kemalpaşazade, 1468 or 1469-1534",author,,http://id.loc.gov/authorities/names/n85370452,human,Ibn Kemal,Q449254,DSNAME1953,Q12483
"Kemalpaşazade, 1468 or 1469-1534",author,,http://id.loc.gov/authorities/names/n85370452,human,Ibn Kemal,Q449254,DSNAME1953,Q12483
"Kemalpaşazade, 1468 or 1469-1534",author,كمال بشا زاده، 1468 or 1469-1534,http://id.loc.gov/authorities/names/n85370452 http://id.loc.gov/authorities/names/n85370452 http://viaf.org/viaf/sourceID/LC%7cn85370452,human,Ibn Kemal,Q449254,DSNAME1953,Q12483
"Kemp, Johannes",scribe,,,human,Johannes van der Kemp,Q88802107,DSNAME1494,Q7655
"Kemp, John",former owner,,,human,John Kemp,Q123378480,DSNAME2474,Q17683
"Kempner, Alan H",former owner,,,human,Alan H. Kempner,Q96631872,DSNAME3217,Q28001
Kenneth A. Lohf (1925-2002),former owner,,,human,Kenneth A. Lohf,Q110041097,DSNAME4614,Q41059
Kenneth A. Lohf (1925-2002).,former owner,,,human,Kenneth A. Lohf,Q110041097,DSNAME4614,Q41059
"Kent, Henry Grey, Duke of, 1664-1740",former owner,,,human,"Henry Grey, 1st Duke of Kent",Q336031,DSNAME4615,Q41060
"Ker, John Edgar",former owner,,,human,John Edgar Ker,Q116452953,DSNAME1460,Q7621
"Ker, John Edgar",former owner,,http://id.loc.gov/authorities/names/nr2006008903,human,John Edgar Ker,Q116452953,DSNAME1460,Q7621
"Kerchove de la Deuze, Jean-François, 1672-1733",former owner,,,human,"Jean François de Kerchove, Heer van Etikhove, La Deuze, Champagne, Vaulx",Q110423154,DSNAME4616,Q41061
"Kergariou, Joseph-Francois-René-Marie-Pierre, 1779-1849",former owner,,,human,Joseph François René de Kergariou,Q19630186,DSNAME4617,Q41062
"Kerrich, Thomas, 1740-1814",former owner,,http://id.loc.gov/authorities/names/n88140566,human,Thomas Kerrich,Q124369273,DSNAME4618,Q41063
Keśavācārya,author,,http://id.loc.gov/authorities/names/n91000093,human,Keśavācārya,Q124252872,DSNAME3569,Q28353
"Keśavācārya Daivajña, active 16th century",author,,http://id.loc.gov/authorities/names/n89297187,human,Keśavācārya Daivajña,Q124252873,DSNAME3574,Q28358
"Keśava Kavirāja, active 17th century",author,,http://id.loc.gov/authorities/names/no2001025549,human,Keśava Kavirāja,Q124252870,DSNAME3613,Q28397
"Keśavamiśra, active 13th century",author,,http://id.loc.gov/authorities/names/n84206285,human,Keśavamiśra,Q124252871,DSNAME3433,Q28217
"Kevorkian, H. 1872-1962",former owner,,,human,Hagop Kevorkian,Q970441,DSNAME2583,Q18631
"Keysser, Georg",scribe,,,human,Georg Keysser,Q116250320,DSNAME1308,Q7056
"Khabbāzī, ʻUmar ibn Muḥammad, 1231 or 1232-1292",author,خبازي، عمر بن محمد,,human,Jalal Al-Din Al-Khabazi,Q16123740,DSNAME7035,Q63965
"Khabīṣī, Muḥammad ibn Abī Bakr, 14th cent",author,خبيصي، محمد بن ابي بكر,,human,Muḥammad ibn Abī Bakr Khabīṣī,Q129951714,DSNAME6677,Q54308
"Khabīṣī, Muḥammad ibn Abī Bakr, 14th cent",author,,,human,Muḥammad ibn Abī Bakr Khabīṣī,Q129951714,DSNAME6677,Q54308
"Khabīṣī, Muḥammad ibn Abī Bakr, active 14th century",author,خبيصي، محمد بن ابي بكر، active 14th century,,human,Muḥammad ibn Abī Bakr Khabīṣī,Q129951714,DSNAME6677,Q54308
"Khabīṣī, ʻUbayd Allāh ibn Faḍl Allāh, -approximately 1640",author,,,human,ʻUbayd Allāh ibn Faḍl Allāh Khabīṣī,Q136458539,DSNAME8963,Q108539
"Khādim Astarābādī, ʻAlī ibn Dāvūd, active 17th century",author,خادم استرابادى، على بن داود، active 17th century,,human,ʻAlī ibn Dāvūd Khādim Astarābādī,Q129453419,DSNAME6351,Q49222
"Khādimī, Muḥammad ibn Muṣṭafá, 1701 or 1702-1762 or 1763",author,,http://id.loc.gov/authorities/names/nr91027348,human,Muḥammad ibn Muṣṭafá Khādimī,Q12178022,DSNAME4619,Q41064
"Khādimī, Muḥammad ibn Muṣṭafá, 1701 or 1702-1762 or 1763",author,,http://id.loc.gov/authorities/names/nr91027348,human,Muḥammad ibn Muṣṭafá Khādimī,Q12178022,DSNAME4619,Q41064
"Khafājī, Aḥmad ibn Muḥammad, 1571 or 1572-1659",author,خفاجي، احمد بن محمد، 1571 or 1572-1659,,human,Shihāb al-Dīn al-Khafājī,Q27894690,DSNAME1824,Q12354
